00:00:00:00:00:00	Officially Xerox
D0:C4:2F:00:00:00	Tamagawa Seiki Co.,Ltd.
D0:C5:F3:00:00:00	Apple, Inc.
D0:C7:89:00:00:00	Cisco Systems, Inc
D0:C7:C0:00:00:00	TP-LINK TECHNOLOGIES CO.,LTD.
D0:CD:E1:00:00:00	Scientech Electronics
D0:CF:5E:00:00:00	Energy Micro AS
D0:D0:4B:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D0:D0:FD:00:00:00	Cisco Systems, Inc
D0:D2:12:00:00:00	K2NET Co.,Ltd.
D0:D2:86:00:00:00	Beckman Coulter K.K.
D0:D3:FC:00:00:00	Mios, Ltd.
D0:D4:12:00:00:00	ADB Broadband Italia
D0:D4:71:00:00:00	MVTECH co., Ltd
D0:D6:CC:00:00:00	Wintop
D0:D9:4F:00:00:00	IEEE Registration Authority
D0:DB:32:00:00:00	Nokia Corporation
D0:DF:9A:00:00:00	Liteon Technology Corporation
D0:DF:B2:00:00:00	Genie Networks Limited
D0:DF:C7:00:00:00	Samsung Electronics Co.,Ltd
D0:E1:40:00:00:00	Apple, Inc.
D0:E3:47:00:00:00	Yoga
D0:E4:0B:00:00:00	Wearable Inc.
D0:E4:4A:00:00:00	Murata Manufacturing Co., Ltd.
D0:E5:4D:00:00:00	ARRIS Group, Inc.
D0:E7:82:00:00:00	AzureWave Technology Inc.
D0:EB:03:00:00:00	Zhehua technology limited
D0:EB:9E:00:00:00	Seowoo Inc.
D0:F0:DB:00:00:00	Ericsson
D0:F2:7F:00:00:00	SteadyServ Technoligies, LLC
D0:F7:3B:00:00:00	Helmut Mauell GmbH Werk Weida
D0:F8:8C:00:00:00	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
D0:FA:1D:00:00:00	Qihoo  360  Technology Co.,Ltd
D0:FC:CC:00:00:00	Samsung Electronics Co.,Ltd
D0:FF:50:00:00:00	Texas Instruments
D0:FF:98:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D4:00:0D:00:00:00	Phoenix Broadband Technologies, LLC.
D4:00:57:00:00:00	MC Technologies GmbH
D4:01:29:00:00:00	Broadcom
D4:01:6D:00:00:00	TP-LINK TECHNOLOGIES CO.,LTD.
D4:02:4A:00:00:00	Delphian Systems LLC
D4:04:CD:00:00:00	ARRIS Group, Inc.
D4:04:FF:00:00:00	Juniper Networks
D4:05:98:00:00:00	ARRIS Group, Inc.
D4:0A:A9:00:00:00	ARRIS Group, Inc.
D4:0B:1A:00:00:00	HTC Corporation
D4:0B:B9:00:00:00	Solid Semecs bv.
D4:0F:B2:00:00:00	Applied Micro Electronics AME bv
D4:10:90:00:00:00	iNFORM Systems AG
D4:10:CF:00:00:00	Huanshun Network Science and Technology Co., Ltd.
D4:11:D6:00:00:00	ShotSpotter, Inc.
D4:12:96:00:00:00	Anobit Technologies Ltd.
D4:12:BB:00:00:00	Quadrant Components Inc. Ltd
D4:13:6F:00:00:00	Asia Pacific Brands
D4:1C:1C:00:00:00	RCF S.P.A.
D4:1D:71:00:00:00	Palo Alto Networks
D4:1E:35:00:00:00	TOHO Electronics INC.
D4:1F:0C:00:00:00	JAI Oy
D4:20:6D:00:00:00	HTC Corporation
D4:21:22:00:00:00	Sercomm Corporation
D4:22:3F:00:00:00	Lenovo Mobile Communication Technology Ltd.
D4:22:4E:00:00:00	Alcatel Lucent
D4:27:51:00:00:00	Infopia Co., Ltd
D4:28:B2:00:00:00	ioBridge, Inc.
D4:28:D5:00:00:00	TCT mobile ltd
D4:29:EA:00:00:00	Zimory GmbH
D4:2C:0F:00:00:00	ARRIS Group, Inc.
D4:2C:3D:00:00:00	Sky Light Digital Limited
D4:2C:44:00:00:00	Cisco Systems, Inc
D4:2F:23:00:00:00	Akenori PTE Ltd
D4:31:9D:00:00:00	Sinwatec
D4:32:66:00:00:00	Fike Corporation
D4:36:39:00:00:00	Texas Instruments
D4:36:DB:00:00:00	Jiangsu Toppower Automotive Electronics Co., Ltd
D4:37:D7:00:00:00	zte corporation
D4:3A:65:00:00:00	IGRS Engineering Lab Ltd.
D4:3A:E9:00:00:00	DONGGUAN ipt INDUSTRIAL CO., LTD
D4:3D:67:00:00:00	Carma Industries Inc.
D4:3D:7E:00:00:00	Micro-Star Int'l Co, Ltd
D4:40:F0:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D4:41:65:00:00:00	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
D4:43:A8:00:00:00	Changzhou Haojie Electric Co., Ltd.
D4:45:E8:00:00:00	Jiangxi Hongpai Technology Co., Ltd.
D4:4B:5E:00:00:00	TAIYO YUDEN CO., LTD.
D4:4C:24:00:00:00	Vuppalamritha Magnetic Components LTD
D4:4C:9C:00:00:00	Shenzhen YOOBAO Technology Co.Ltd
D4:4C:A7:00:00:00	Informtekhnika & Communication, LLC
D4:4F:80:00:00:00	Kemper Digital GmbH
D4:50:3F:00:00:00	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
D4:50:7A:00:00:00	CEIVA Logic, Inc
D4:52:2A:00:00:00	TangoWiFi.com
D4:52:51:00:00:00	IBT Ingenieurbureau Broennimann Thun
D4:52:97:00:00:00	nSTREAMS Technologies, Inc.
D4:53:AF:00:00:00	VIGO System S.A.
D4:55:56:00:00:00	Fiber Mountain Inc.
D4:55:BE:00:00:00	SHENZHEN FAST TECHNOLOGIES CO.,LTD
D4:5A:B2:00:00:00	Galleon Systems
D4:5C:70:00:00:00	Wi-Fi Alliance
D4:5D:42:00:00:00	Nokia Corporation
D4:5F:25:00:00:00	Shenzhen YOUHUA Technology Co., Ltd
D4:61:2E:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D4:61:32:00:00:00	Pro Concept Manufacturer Co.,Ltd.
D4:61:9D:00:00:00	Apple, Inc.
D4:61:FE:00:00:00	Hangzhou H3C Technologies Co., Limited
D4:63:FE:00:00:00	Arcadyan Corporation
D4:64:F7:00:00:00	CHENGDU USEE DIGITAL TECHNOLOGY CO., LTD
D4:66:A8:00:00:00	Riedo Networks GmbH
D4:67:61:00:00:00	SAHAB TECHNOLOGY
D4:67:E7:00:00:00	Fiberhome Telecommunication Technologies Co.,LTD
D4:68:4D:00:00:00	Ruckus Wireless
D4:68:67:00:00:00	Neoventus Design Group
D4:68:BA:00:00:00	Shenzhen Sundray Technologies Company Limited
D4:6A:6A:00:00:00	Hon Hai Precision Ind. Co.,Ltd.
D4:6A:91:00:00:00	Snap AV
D4:6A:A8:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D4:6C:BF:00:00:00	Goodrich ISR
D4:6C:DA:00:00:00	CSM GmbH
D4:6D:50:00:00:00	Cisco Systems, Inc
D4:6E:0E:00:00:00	TP-LINK TECHNOLOGIES CO.,LTD.
D4:6E:5C:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D4:6F:42:00:00:00	WAXESS USA Inc
D4:72:08:00:00:00	Bragi GmbH
D4:76:EA:00:00:00	zte corporation
D4:78:56:00:00:00	Avaya Inc
D4:79:C3:00:00:00	Cameronet GmbH & Co. KG
D4:7A:E2:00:00:00	Samsung Electronics Co.,Ltd
D4:7B:35:00:00:00	NEO Monitors AS
D4:7B:75:00:00:00	HARTING Electronics GmbH
D4:7B:B0:00:00:00	ASKEY COMPUTER CORP
D4:7D:FC:00:00:00	TECNO MOBILE LIMITED
D4:81:CA:00:00:00	iDevices, LLC
D4:81:D7:00:00:00	Dell Inc.
D4:82:3E:00:00:00	Argosy Technologies, Ltd.
D4:83:04:00:00:00	SHENZHEN FAST TECHNOLOGIES CO.,LTD
D4:85:64:00:00:00	Hewlett Packard
D4:87:D8:00:00:00	Samsung Electronics Co.,Ltd
D4:88:3F:00:00:00	HDPRO CO., LTD.
D4:88:90:00:00:00	Samsung Electronics Co.,Ltd
D4:8C:B5:00:00:00	Cisco Systems, Inc
D4:8D:D9:00:00:00	Meld Technology, Inc
D4:8F:33:00:00:00	Microsoft Corporation
D4:8F:AA:00:00:00	Sogecam Industrial, S.A.
D4:90:E0:00:00:00	Wachendorff Automation GmbH & Co KG
D4:91:AF:00:00:00	Electroacustica General Iberica, S.A.
D4:93:98:00:00:00	Nokia Corporation
D4:93:A0:00:00:00	Fidelix Oy
D4:94:5A:00:00:00	COSMO CO., LTD
D4:94:A1:00:00:00	Texas Instruments
D4:94:E8:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D4:95:24:00:00:00	Clover Network, Inc.
D4:96:DF:00:00:00	SUNGJIN C&T CO.,LTD
D4:97:0B:00:00:00	Xiaomi Communications Co Ltd
D4:9A:20:00:00:00	Apple, Inc.
D4:9B:5C:00:00:00	Chongqing Miedu Technology Co., Ltd.
D4:9C:28:00:00:00	JayBird LLC
D4:9C:8E:00:00:00	University of FUKUI
D4:9E:6D:00:00:00	Wuhan Zhongyuan Huadian Science & Technology Co.,
D4:A0:2A:00:00:00	Cisco Systems, Inc
D4:A1:48:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D4:A4:25:00:00:00	SMAX Technology Co., Ltd.
D4:A4:99:00:00:00	InView Technology Corporation
D4:A9:28:00:00:00	GreenWave Reality Inc
D4:AA:FF:00:00:00	MICRO WORLD
D4:AC:4E:00:00:00	BODi rS, LLC
D4:AD:2D:00:00:00	Fiberhome Telecommunication Technologies Co.,LTD
D4:AE:05:00:00:00	Samsung Electronics Co.,Ltd
D4:AE:52:00:00:00	Dell Inc.
D4:B1:10:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D4:B1:69:00:00:00	Le Shi Zhi Xin Electronic Technology (Tianjin) Limited
D4:B4:3E:00:00:00	Messcomp Datentechnik GmbH
D4:B8:FF:00:00:00	Home Control Singapore Pte Ltd
D4:BE:D9:00:00:00	Dell Inc.
D4:BF:2D:00:00:00	SE Controls Asia Pacific Ltd
D4:BF:7F:00:00:00	Upvel
D4:C1:C8:00:00:00	zte corporation
D4:C1:FC:00:00:00	Nokia Corporation
D4:C7:66:00:00:00	Acentic GmbH
D4:C8:B0:00:00:00	Prime Electronics & Satellitics Inc.
D4:C9:B2:00:00:00	Quanergy Systems Inc
D4:C9:EF:00:00:00	Hewlett Packard
D4:CA:6D:00:00:00	Routerboard.com
D4:CA:6E:00:00:00	u-blox AG
D4:CB:AF:00:00:00	Nokia Corporation
D4:CE:B8:00:00:00	Enatel LTD
D4:CF:37:00:00:00	Symbolic IO
D4:CF:F9:00:00:00	Shenzhen Sen5 Technology Co., Ltd.
D4:D1:84:00:00:00	ADB Broadband Italia
D4:D2:49:00:00:00	Power Ethernet
D4:D5:0D:00:00:00	Southwest Microwave, Inc
D4:D7:48:00:00:00	Cisco Systems, Inc
D4:D7:A9:00:00:00	Shanghai Kaixiang Info Tech LTD
D4:D8:98:00:00:00	Korea CNO Tech Co., Ltd
D4:D9:19:00:00:00	Gopro
D4:DC:CD:00:00:00	Apple, Inc.
D4:DF:57:00:00:00	Alpinion Medical Systems
D4:E0:8E:00:00:00	ValueHD Corporation
D4:E3:2C:00:00:00	S. Siedle & Sohne
D4:E3:3F:00:00:00	Nokia
D4:E8:B2:00:00:00	Samsung Electronics Co.,Ltd
D4:E9:0B:00:00:00	CVT CO.,LTD
D4:EA:0E:00:00:00	Avaya Inc
D4:EC:0C:00:00:00	Harley-Davidson Motor Company
D4:EC:86:00:00:00	LinkedHope Intelligent Technologies Co., Ltd
D4:EE:07:00:00:00	HIWIFI Co., Ltd.
D4:F0:27:00:00:00	Navetas Energy Management
D4:F0:B4:00:00:00	Napco Security Technologies
D4:F1:43:00:00:00	IPROAD.,Inc
D4:F2:07:00:00:00	DIAODIAO(Beijing)Technology CO.,Ltd
D4:F4:6F:00:00:00	Apple, Inc.
D4:F4:BE:00:00:00	Palo Alto Networks
D4:F5:13:00:00:00	Texas Instruments
D4:F6:3F:00:00:00	IEA S.R.L.
D4:F9:A1:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D8:00:4D:00:00:00	Apple, Inc.
D8:05:2E:00:00:00	Skyviia Corporation
D8:06:D1:00:00:00	Honeywell Fire System (Shanghai) Co,. Ltd.
D8:08:F5:00:00:00	Arcadia Networks Co. Ltd.
D8:09:C3:00:00:00	Cercacor Labs
D8:0C:CF:00:00:00	C.G.V. S.A.S.
D8:0D:E3:00:00:00	FXI TECHNOLOGIES AS
D8:0F:99:00:00:00	Hon Hai Precision Ind. Co.,Ltd.
D8:14:D6:00:00:00	SURE SYSTEM Co Ltd
D8:15:0D:00:00:00	TP-LINK TECHNOLOGIES CO.,LTD.
D8:16:0A:00:00:00	Nippon Electro-Sensory Devices
D8:16:C1:00:00:00	DEWAV (HK) ELECTRONICS LIMITED
D8:18:2B:00:00:00	Conti Temic Microelectronic GmbH
D8:19:7A:00:00:00	Nuheara Ltd
D8:19:CE:00:00:00	Telesquare
D8:1B:FE:00:00:00	TWINLINX CORPORATION
D8:1C:14:00:00:00	Compacta International, Ltd.
D8:1D:72:00:00:00	Apple, Inc.
D8:1E:DE:00:00:00	B&W Group Ltd
D8:1F:CC:00:00:00	Brocade Communications Systems, Inc.
D8:20:9F:00:00:00	Cubro Acronet GesmbH
D8:24:BD:00:00:00	Cisco Systems, Inc
D8:25:22:00:00:00	ARRIS Group, Inc.
D8:25:B0:00:00:00	Rockeetech Systems Co.,Ltd.
D8:26:B9:00:00:00	Guangdong Coagent Electronics S&amp;T Co.,Ltd.
D8:27:0C:00:00:00	MaxTronic International Co., Ltd.
D8:28:C9:00:00:00	General Electric Consumer and Industrial
D8:29:16:00:00:00	Ascent Communication Technology
D8:29:86:00:00:00	Best Wish Technology LTD
D8:2A:15:00:00:00	Leitner SpA
D8:2A:7E:00:00:00	Nokia Corporation
D8:2D:9B:00:00:00	Shenzhen G.Credit Communication Technology Co., Ltd
D8:2D:E1:00:00:00	Tricascade Inc.
D8:30:62:00:00:00	Apple, Inc.
D8:31:CF:00:00:00	Samsung Electronics Co.,Ltd
D8:32:14:00:00:00	Tenda Technology Co.,Ltd.Dongguan branch
D8:32:5A:00:00:00	Shenzhen YOUHUA Technology Co., Ltd
D8:33:7F:00:00:00	Office FA.com Co.,Ltd.
D8:37:BE:00:00:00	Shanghai Gongjing Telecom Technology Co,LTD
D8:38:0D:00:00:00	SHENZHEN IP-COM Network Co.,Ltd
D8:38:FC:00:00:00	Ruckus Wireless
D8:3C:69:00:00:00	Shenzhen TINNO Mobile Technology Corp.
D8:42:AC:00:00:00	Shanghai Feixun Communication Co.,Ltd.
D8:42:E2:00:00:00	Canary Connect, Inc.
D8:45:2B:00:00:00	Integrated Device Technology (Malaysia) Sdn. Bhd.
D8:46:06:00:00:00	Silicon Valley Global Marketing
D8:47:10:00:00:00	Sichuan Changhong Electric Ltd.
D8:48:EE:00:00:00	Hangzhou Xueji Technology Co., Ltd.
D8:49:0B:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D8:49:2F:00:00:00	CANON INC.
D8:4A:87:00:00:00	OI ELECTRIC CO.,LTD
D8:4B:2A:00:00:00	Cognitas Technologies, Inc.
D8:4F:B8:00:00:00	LG ELECTRONICS
D8:50:E6:00:00:00	ASUSTek COMPUTER INC.
D8:54:3A:00:00:00	Texas Instruments
D8:54:A2:00:00:00	Aerohive Networks Inc.
D8:55:A3:00:00:00	zte corporation
D8:57:EF:00:00:00	Samsung Electronics Co.,Ltd
D8:58:D7:00:00:00	CZ.NIC, z.s.p.o.
D8:5B:2A:00:00:00	Samsung Electronics Co.,Ltd
D8:5D:4C:00:00:00	TP-LINK TECHNOLOGIES CO.,LTD.
D8:5D:84:00:00:00	CAx soft GmbH
D8:5D:E2:00:00:00	Hon Hai Precision Ind. Co.,Ltd.
D8:5D:EF:00:00:00	Busch-Jaeger Elektro GmbH
D8:5D:FB:00:00:00	Private
D8:60:B0:00:00:00	bioMérieux Italia S.p.A.
D8:60:B3:00:00:00	Guangdong Global Electronic Technology CO.，LTD
D8:61:94:00:00:00	Objetivos y Sevicios de Valor Añadido
D8:62:DB:00:00:00	Eno Inc.
D8:65:95:00:00:00	Toy's Myth Inc.
D8:66:C6:00:00:00	Shenzhen Daystar Technology Co.,ltd
D8:66:EE:00:00:00	BOXIN COMMUNICATION CO.,LTD.
D8:67:D9:00:00:00	Cisco Systems, Inc
D8:69:60:00:00:00	Steinsvik
D8:6B:F7:00:00:00	Nintendo Co., Ltd.
D8:6C:02:00:00:00	Huaqin Telecom Technology Co.,Ltd
D8:6C:E9:00:00:00	Sagemcom Broadband SAS
D8:71:57:00:00:00	Lenovo Mobile Communication Technology Ltd.
D8:74:95:00:00:00	zte corporation
D8:75:33:00:00:00	Nokia Corporation
D8:76:0A:00:00:00	Escort, Inc.
D8:78:E5:00:00:00	KUHN SA
D8:79:88:00:00:00	Hon Hai Precision Ind. Co.,Ltd.
D8:7C:DD:00:00:00	SANIX INCORPORATED
D8:7E:B1:00:00:00	x.o.ware, inc.
D8:80:39:00:00:00	Microchip Technology Inc.
D8:80:3C:00:00:00	Anhui Huami Information Technology Company Limited
D8:81:CE:00:00:00	AHN INC.
D8:84:66:00:00:00	Extreme Networks
D8:87:D5:00:00:00	Leadcore Technology CO.,LTD
D8:88:CE:00:00:00	RF Technology Pty Ltd
D8:8A:3B:00:00:00	Unit-Em
D8:8B:4C:00:00:00	KingTing Tech.
D8:8D:5C:00:00:00	Elentec
D8:90:E8:00:00:00	Samsung Electronics Co.,Ltd
D8:93:41:00:00:00	General Electric Global Research
D8:94:03:00:00:00	Hewlett Packard Enterprise
D8:95:2F:00:00:00	Texas Instruments
D8:96:85:00:00:00	Gopro
D8:96:95:00:00:00	Apple, Inc.
D8:96:E0:00:00:00	Alibaba Cloud Computing Ltd.
D8:97:3B:00:00:00	Artesyn Embedded Technologies
D8:97:60:00:00:00	C2 Development, Inc.
D8:97:7C:00:00:00	Grey Innovation
D8:97:BA:00:00:00	PEGATRON CORPORATION
D8:9A:34:00:00:00	Beijing SHENQI Technology Co., Ltd.
D8:9D:67:00:00:00	Hewlett Packard
D8:9D:B9:00:00:00	eMegatech International Corp.
D8:9E:3F:00:00:00	Apple, Inc.
D8:A1:05:00:00:00	Syslane, Co., Ltd.
D8:A2:5E:00:00:00	Apple, Inc.
D8:AD:DD:00:00:00	Sonavation, Inc.
D8:AE:90:00:00:00	Itibia Technologies
D8:AF:3B:00:00:00	Hangzhou Bigbright Integrated communications system Co.,Ltd
D8:AF:F1:00:00:00	Panasonic Appliances Company
D8:B0:2E:00:00:00	Guangzhou Zonerich Business Machine Co., LTD.
D8:B0:4C:00:00:00	Jinan USR IOT Technology Co., Ltd.
D8:B1:2A:00:00:00	Panasonic Mobile Communications Co., Ltd.
D8:B1:90:00:00:00	Cisco Systems, Inc
D8:B3:77:00:00:00	HTC Corporation
D8:B6:B7:00:00:00	Comtrend Corporation
D8:B6:C1:00:00:00	NetworkAccountant, Inc.
D8:B6:D6:00:00:00	Blu Tether Limited
D8:B8:F6:00:00:00	Nantworks
D8:B9:0E:00:00:00	Triple Domain Vision Co.,Ltd.
D8:BB:2C:00:00:00	Apple, Inc.
D8:BF:4C:00:00:00	Victory Concept Electronics Limited
D8:C0:68:00:00:00	Netgenetech.co.,ltd.
D8:C0:6A:00:00:00	Hunantv.com Interactive Entertainment Media Co.,Ltd.
D8:C3:FB:00:00:00	Detracom
D8:C4:6A:00:00:00	Murata Manufacturing Co., Ltd.
D8:C4:E9:00:00:00	Samsung Electronics Co.,Ltd
D8:C6:91:00:00:00	Hichan Technology Corp.
D8:C7:71:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
D8:C7:C8:00:00:00	Aruba Networks
D8:C8:E9:00:00:00	Phicomm (Shanghai) Co., Ltd.
D8:C9:9D:00:00:00	EA DISPLAY LIMITED
D8:CB:8A:00:00:00	Micro-Star INTL CO., LTD.
D8:CF:9C:00:00:00	Apple, Inc.
D8:D1:CB:00:00:00	Apple, Inc.
D8:D2:7C:00:00:00	JEMA ENERGY, SA
D8:D3:85:00:00:00	Hewlett Packard
D8:D4:3C:00:00:00	Sony Corporation
D8:D5:B9:00:00:00	Rainforest Automation, Inc.
D8:D6:7E:00:00:00	GSK CNC EQUIPMENT CO.,LTD
D8:D7:23:00:00:00	IDS, Inc
D8:D8:66:00:00:00	SHENZHEN TOZED TECHNOLOGIES CO.,LTD.
D8:DA:52:00:00:00	APATOR S.A.
D8:DC:E9:00:00:00	Kunshan Erlab ductless filtration system Co.,Ltd
D8:DD:5F:00:00:00	BALMUDA Inc.
D8:DD:FD:00:00:00	Texas Instruments
D8:DE:CE:00:00:00	ISUNG CO.,LTD
D8:DF:0D:00:00:00	beroNet GmbH
D8:E0:B8:00:00:00	BULAT LLC
D8:E0:E1:00:00:00	Samsung Electronics Co.,Ltd
D8:E3:AE:00:00:00	CIRTEC MEDICAL SYSTEMS
D8:E5:6D:00:00:00	TCT mobile ltd
D8:E7:2B:00:00:00	NetScout Systems, Inc.
D8:E7:43:00:00:00	Wush, Inc
D8:E9:52:00:00:00	Keopsys
D8:EB:97:00:00:00	TRENDnet, Inc.
D8:EE:78:00:00:00	Moog Protokraft
D8:EF:CD:00:00:00	Nokia
D8:F0:F2:00:00:00	Zeebo Inc
D8:F7:10:00:00:00	Libre Wireless Technologies Inc.
D8:FB:11:00:00:00	Axacore
D8:FB:5E:00:00:00	ASKEY COMPUTER CORP
D8:FB:68:00:00:00	Cloud Corner Ltd.
D8:FC:38:00:00:00	Giantec Semiconductor Inc
D8:FC:93:00:00:00	Intel Corporate
D8:FE:8F:00:00:00	IDFone Co., Ltd.
D8:FE:E3:00:00:00	D-Link International
DC:00:77:00:00:00	TP-LINK TECHNOLOGIES CO.,LTD.
DC:02:65:00:00:00	Meditech Kft
DC:02:8E:00:00:00	zte corporation
DC:05:2F:00:00:00	National Products Inc.
DC:05:75:00:00:00	SIEMENS ENERGY AUTOMATION
DC:05:ED:00:00:00	Nabtesco  Corporation
DC:07:C1:00:00:00	HangZhou QiYang Technology Co.,Ltd.
DC:08:56:00:00:00	Alcatel-Lucent Enterprise
DC:09:14:00:00:00	Talk-A-Phone Co.
DC:09:4C:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
DC:0B:1A:00:00:00	ADB Broadband Italia
DC:0B:34:00:00:00	LG Electronics (Mobile Communications)
DC:0C:5C:00:00:00	Apple, Inc.
DC:0D:30:00:00:00	Shenzhen Feasycom Technology Co., Ltd.
DC:0E:A1:00:00:00	COMPAL INFORMATION (KUNSHAN) CO., LTD.
DC:15:DB:00:00:00	Ge Ruili Intelligent Technology ( Beijing ) Co., Ltd.
DC:16:A2:00:00:00	Medtronic Diabetes
DC:17:5A:00:00:00	Hitachi High-Technologies Corporation
DC:17:92:00:00:00	Captivate Network
DC:1A:01:00:00:00	Ecoliv Technology ( Shenzhen ) Ltd.
DC:1A:C5:00:00:00	vivo Mobile Communication Co., Ltd.
DC:1D:9F:00:00:00	U & B tech
DC:1D:D4:00:00:00	Microstep-MIS spol. s r.o.
DC:1E:A3:00:00:00	Accensus LLC
DC:20:08:00:00:00	ASD Electronics Ltd
DC:29:3A:00:00:00	Shenzhen Nuoshi Technology Co., LTD.
DC:2A:14:00:00:00	Shanghai Longjing Technology Co.
DC:2B:2A:00:00:00	Apple, Inc.
DC:2B:61:00:00:00	Apple, Inc.
DC:2B:66:00:00:00	InfoBLOCK S.A. de C.V.
DC:2B:CA:00:00:00	Zera GmbH
DC:2C:26:00:00:00	Iton Technology Limited
DC:2D:CB:00:00:00	Beijing Unis HengYue Technology Co., Ltd.
DC:2E:6A:00:00:00	HCT. Co., Ltd.
DC:2F:03:00:00:00	Step forward Group Co., Ltd.
DC:30:9C:00:00:00	Heyrex Limited
DC:33:0D:00:00:00	Qingdao Haier Telecom Co.，Ltd
DC:33:50:00:00:00	TechSAT GmbH
DC:35:F1:00:00:00	Positivo Informática SA.
DC:37:14:00:00:00	Apple, Inc.
DC:37:52:00:00:00	Ge
DC:37:D2:00:00:00	Hunan HKT Electronic Technology Co., Ltd
DC:38:E1:00:00:00	Juniper Networks
DC:39:79:00:00:00	Skyport Systems
DC:3A:5E:00:00:00	Roku, Inc.
DC:3C:2E:00:00:00	Manufacturing System Insights, Inc.
DC:3C:84:00:00:00	Ticom Geomatics, Inc.
DC:3C:F6:00:00:00	Atomic Rules LLC
DC:3E:51:00:00:00	Solberg & Andersen AS
DC:3E:F8:00:00:00	Nokia Corporation
DC:41:5F:00:00:00	Apple, Inc.
DC:44:27:00:00:00	IEEE Registration Authority
DC:44:6D:00:00:00	Allwinner Technology Co., Ltd
DC:45:17:00:00:00	ARRIS Group, Inc.
DC:49:C9:00:00:00	CASCO SIGNAL LTD
DC:4A:3E:00:00:00	Hewlett Packard
DC:4D:23:00:00:00	MRV Comunications
DC:4E:DE:00:00:00	SHINYEI TECHNOLOGY CO., LTD.
DC:53:60:00:00:00	Intel Corporate
DC:53:7C:00:00:00	Compal Broadband Networks, Inc.
DC:56:E6:00:00:00	Shenzhen Bococom Technology Co.,LTD
DC:57:26:00:00:00	Power-One
DC:5E:36:00:00:00	Paterson Technology
DC:60:A1:00:00:00	Teledyne DALSA Professional Imaging
DC:64:7C:00:00:00	C.R.S. iiMotion GmbH
DC:64:B8:00:00:00	Shenzhen JingHanDa Electronics Co.Ltd
DC:66:3A:00:00:00	Apacer Technology Inc.
DC:66:72:00:00:00	Samsung Electronics Co.,Ltd
DC:6D:CD:00:00:00	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
DC:6F:00:00:00:00	Livescribe, Inc.
DC:6F:08:00:00:00	Bay Storage Technology
DC:70:14:00:00:00	Private
DC:71:44:00:00:00	SAMSUNG ELECTRO MECHANICS CO., LTD.
DC:78:34:00:00:00	LOGICOM SA
DC:7B:94:00:00:00	Cisco Systems, Inc
DC:7F:A4:00:00:00	2Wire Inc
DC:82:5B:00:00:00	JANUS, spol. s r.o.
DC:82:F6:00:00:00	Iport
DC:85:DE:00:00:00	AzureWave Technology Inc.
DC:86:D8:00:00:00	Apple, Inc.
DC:9A:8E:00:00:00	Nanjing Cocomm electronics co., LTD
DC:9B:1E:00:00:00	Intercom, Inc.
DC:9B:9C:00:00:00	Apple, Inc.
DC:9C:52:00:00:00	Sapphire Technology Limited.
DC:9C:9F:00:00:00	Shenzhen YOUHUA Technology Co., Ltd
DC:9F:A4:00:00:00	Nokia Corporation
DC:9F:DB:00:00:00	Ubiquiti Networks Inc.
DC:A3:AC:00:00:00	RBcloudtech
DC:A4:CA:00:00:00	Apple, Inc.
DC:A5:F4:00:00:00	Cisco Systems, Inc
DC:A6:BD:00:00:00	Beijing Lanbo Technology Co., Ltd.
DC:A7:D9:00:00:00	Compressor Controls Corp
DC:A8:CF:00:00:00	New Spin Golf, LLC.
DC:A9:04:00:00:00	Apple, Inc.
DC:A9:71:00:00:00	Intel Corporate
DC:A9:89:00:00:00	Macandc
DC:AD:9E:00:00:00	GreenPriz
DC:AE:04:00:00:00	CELOXICA Ltd
DC:B0:58:00:00:00	Bürkert Werke GmbH
DC:B3:B4:00:00:00	Honeywell Environmental & Combustion Controls (Tianjin) Co., Ltd.
DC:B4:C4:00:00:00	Microsoft XCG
DC:BF:90:00:00:00	HUIZHOU QIAOXING TELECOMMUNICATION INDUSTRY CO.,LTD.
DC:C0:DB:00:00:00	Shenzhen Kaiboer Technology Co., Ltd.
DC:C0:EB:00:00:00	ASSA ABLOY CÔTE PICARDE
DC:C1:01:00:00:00	SOLiD Technologies, Inc.
DC:C4:22:00:00:00	Systembase Limited
DC:C6:22:00:00:00	BUHEUNG SYSTEM
DC:C6:4B:00:00:00	HUAWEI TECHNOLOGIES CO.,LTD
DC:C7:93:00:00:00	Nokia Corporation
DC:CB:A8:00:00:00	Explora Technologies Inc
